IPMC |  All Questions ,,,,,,,,,,,,,,,
No.,Questions,Answer A,Answer B,Answer C,Answer Correct,Feedback,Questions Ar,Answer A Ar,Answer B Ar,Answer C Ar,Answer Correct Ar,Chapter,Process Group,Free Quiz,Exam No.
350,You are a project manager during the initiation phase. Which of the following documents will help you while developing the project charter?,Brainstorming,Final report,Project Management Plan,Business case ,"The approved business case is the business document most commonly used to create the project charter. [PMBOK 6th edition, Page 77]",,,,,,Integration,Initiating,,4
11,A project manager updating a dashboard monthly with information on the project's performance using project management information system (PMIS). Which of the following communication methods describes this? ,Manual communication,Interactive Communication.,Informal communication.,Pull Communication.,Dashboards help the Internal and external stakeholders to get project information any time. its example of pull communication. [PMBOK 6th edition. Page 374],,,,,,Communication,Planning,,1
437,Your company has created an electronic network to share information between stakeholders and access to information at any time. Which communication method is used? ,Push communication ,Multidirectional communication ,Interactive communication ,Pull communication ," An electronic network is a form of Pull communication. [PMBOK 6th edition, Page 374] ",,,,,,Communication,Planning,,5
454,"By the project management information system (PMIS), a project management team is updating a dashboard monthly with information on the project's performance. Which of the following communication methods describes this? ",Interactive Communication ,Informal communication ,Manual communication ,Pull Communication ," Keyword (dashboard) is update monthly with information on the project's performance to help the internal and external stakeholders to get the information any time by using the PMIS. its an example of pull communication. [PMBOK 6th edition, Page 374] ",,,,,,Communication,Planning,,4
3,"You are a project manager in an Construction project. During the work, an unexpected resource shortage occurs. What should the project manager do? ",Perform a qualitative risk analysis ,Risk categorization ,Risk probability and impact assessment ,Refer to the risk register and inform key stakeholders ,"As an unexpected power outage occurs, the project manager should first Refer to the risk register and inform key stakeholders to handle this scenario. Risk categorization and Risk probability and Impact assessment are Tools & Techniques in Perform a qualitative risk analysis process, therefore they can be excluded. [PMBOK 6th edition Page, 453]",,,,,,Risk,Monitor & Control,,5
297,"You are a project manager in a communication project. During the deployment of a new system, an unexpected power outage occurs. What should the project manager do? ",Risk categorization ,Risk probability and impact assessment ,Perform a qualitative risk analysis ,Refer to the risk register and inform key stakeholders ,"As an unexpected power outage occurs, the project manager should first Refer to the risk register and inform key stakeholders to handle this scenario. Risk categorization and Risk probability and Impact assessment are Tools & Techniques in Perform a qualitative risk analysis process, therefore they can be excluded. [PMBOK 6th edition, Page.417]",,,,,,Risk,Executing,,3
16,"After stakeholders in a company's sales department examined all the deliverables, they state that there has been a change in the company strategy. Therefore, important changes must be made to the requirements. The project manager believes that these changes make the deliverables unstable. What should the project manager do? ",Evaluate and incorporate the changes to the project management plan to start executing them. ,Request the details about the new requirements. evaluate them with the project team. and recommend whether to continue or close the project. ,Evaluate the impact on the project. coordinate with the sponsor and close the project.,Request that the stakeholders specify the new requirements and present them to the change control board (CCB). ,Since the changes are Important and MUST be made to the requirements so the PM need to make it. Any changes In project requirement can impact the baseline will require formal change request to take the approval from CCB. The project manager should request the stakeholders to specify the new requirements and present them to the change control board (CCB). Options of implement the changes without the approval of CCB are not correct . Also close the project after evaluate the Impact on project is not correct. [PMBOK 6th edition. Page. 167],,,,,,Scope,Monitor & Control,,3
398,"The relevant stakeholders inspected the deliverables and found that  that there has been a change in the company strategy. Therefore, important changes must be made to the requirements. The project manager believes that these changes make the deliverables unstable. What should the project manager do? ","Request the details about the new requirements, evaluate them with the project team, and recommend whether to continue or close the project. ","Evaluate the impact on the project, coordinate with the sponsor and close the project. ",Evaluate and incorporate the changes to the project management plan to start executing them. ,Request that the stakeholders specify the new requirements and present them to the change control board (CCB). ,"Keyword ( important changes MUST be made to the requirements ) Any changes in project requirement can impact the baseline will require formal change request to take the approval from CCB. SO the project manager should Request that the stakeholders specify the new requirements and present them to the change control board (CCB). other options not correct because the change request can not be implemented without the approval by CCB. the other option ( close the project after evaluate the impact on project not correct ),  [PMBOK 6th edition Page, 117, 120]",,,,,,Integration,Monitor & Control,,5
13,"A project manager has received reports from a supplier that he is over capacity, which may delay his delivery. What should the project manager update next? ",Schedule Baseline.,Stakeholder engagement plan. ,Issue log. ,Risk register.,"Since the report show that the delivery may delayed, so the project manager should update the risk register then perform analysis to assess the impact of this delay on the project. [PMBOK 6th edition. Page 453]",,,,,,Risk,Monitor & Control,,4
17,You are in the execution phase of a project to build a building. The project team develops a new response for an existing risk that will reduce the schedule by 20 days. What document should the project manager update? ,Schedule management plan.,Risk breakdown structure (PBS).,Risk management plan.,Risk register.,"The risk register Is updated when appropriate risk responses are chosen and agreed upon. [PMBOK 6th edition. Page. 448]
",,,,,,Risk,Executing,,3
133,"During the implementation phase, one of your project team has told you that the Concrete delivery will be delayed one week. As a project manager, what document should you refer to FIRST?",Plan Risk management plan ,Issue Log ,Risk Response ,Risk Register ,"You should refer First to Risk Register to check this risk was identified before or not. If yes so this identified risk and you should implement the response. if it's not identified before then it's considered unidentified risk occurred and you should do workaround. [PMBOK 6th edition, Page 449] ",,,,,,Risk,Executing,,5
368,You are in the execution phase of a project to build a stadium. The project team develops a new response for an existing risk that will reduce the schedule by 20 days. What document should the project manager update? ,Risk breakdown structure (PBS). ,Risk management plan ,Schedule management plan ,Risk register ,"The risk register is updated when appropriate risk responses are chosen and agreed upon. [PMBOK 6th edition, Page 448] ",,,,,,Risk,Planning,,1
72,Which of the following is an output of the Create WBS process?,Project scope statement,Decomposition,Requirements documentation,Scope baseline,"The scope baseline is an output of the Create WBS process. The other choices are either inputs or tools and techniques of the process. [PMBOK 6th edition, Page 156] ",,,,,,Scope,Planning,,3
378,"During managing stakeholder expectations, at the end of the design phase, you found one of the key stakeholders complain of one of work package still not complete. You do not agree and review with him the WBS dictionary but the stakeholder is still unsatisfied. What is the next document you should review? ",Requirement management plan ,Scope management plan ,WBS ,Scope Baseline,"Scope baseline contains the approved project scope statement which includes Project scope description, Acceptance criteria, and Project deliverables. [PMBOK 6th edition, Page.161]",,,,,,Scope,Planning,,5
8,If the project deliverables didn't meet the agreed-upon acceptance criteria. What should the project manager reference to verity this with the contractor?,Quality log,Request for proposal (RFP).,Procurement management plan,Statement of work (SOW). ,"The SOW Include 1. Description of the procurement item, 2. Specifications, quality requirements and performance metrics, 3. Description of collateral services required, and 4. Acceptance methods and criteria. [PMBOK 6th edition page. 481]
",,,,,,Procurement,Planning,,3
395,The project manager didn't accepted the deliverables because don't meet the agreed-upon acceptance criteria. What should the project manager reference to verify this with the contractor? ,Request for proposal (RFP).,Procurement management plan ,Quality log ,Statement of work (SOW). ,"The SOW include: ""Description of the procurement item, specifications, quality requirements, and performance metrics"" Description of collateral services required acceptance methods and criteria. [PMBOK 6th edition Page, 481]",,,,,,Procurement,Planning,,5
484,A project manager is working with the project team to estimate durations for the identified project activities. The team is looking to achieve the most accurate estimate possible. What estimating technique can they use to generate the desired result? ,Top-down estimating ,Parametric estimating ,Analogous estimating ,Three-point estimating ,"Three-point estimating, it uses three estimates (most likely, optimistic, and pessimistic) to calculate the average value of activity duration. It reduces the bias, risks, and uncertainties from the duration calculation. It is more accurate than the analogous technique and Parametric estimating. Analogous estimating is also referred to as top-down estimating.  [PMBOK 6th edition, Page 201].",,,,,,Schedule,Planning,,4
540,You are managing a project in which your team members are uncertain as to how much time will be needed for each activity. Which of the following techniques is considered the most useful in this case? ,Critical Path Method (CPM) ,Arrow Diagramming Method (ADM) ,Precedence Diagramming Method (PDM) ,Three-point estimating ,"Three-point estimating ( triangular distribution )is the technique used for time measurement in case of uncertainties. Optimistic, pessimistic, and most likely are taken into consideration. [PMBOK 6th edition, Page 201].",,,,,,Schedule,Planning,,5
343,"Suzi is the project manager on a civil project. When she hears that her project has run into a snag due to weeks of bad weather on the job site, she says ""No problem, we have insurance that covers cost overruns due to weather."" What risk response strategy did she use? ",Sharing ,Avoidance ,Mitigation ,Transference ,"( Transference), because of insurance. The transfer involves shifting ownership of a threat to a third party to manage the risk and to bear the impact if the threat occurs. A transfer can be achieved by a range of actions, which include but are not limited to the use of insurance, performance bonds, warranties, guarantees. [PMBOK 6th edition, Page 443] ",,,,,,Risk,Planning,,2
450,You have identified a risk that may cause safety concerns for the workers completing the task. You've decided to hire a third party to complete this work because the risk is too great to accept internally. Which risk response is this? ,Avoidance ,Acceptance ,Mitigation ,Transference ,"The transfer involves shifting ownership of a threat to a third party to manage the risk and to bear the impact if the threat occurs. Agreements may be used to transfer ownership and liability for specified risks to another party. A is incorrect because mitigation is any effort to reduce or eliminate the risk. B is incorrect because acceptance means just that: the risk has been accepted. C is incorrect because avoidance is changing the project management plan to avoid the risk altogether. [PMBOK 6th edition, Page 443 ] ",,,,,,Risk,Planning,,4
129,"A senior project manager is working on monitoring the progress of the schedule. To determine whether performance is getting better or worse, he analyzes project performance over time. What technique is the project manager using? ",Performance reviews ,Variance analysis ,Inspection ,Trend Analysis ,"Trend analysis examines project performance over time to determine whether performance is improving or deteriorating. Graphical analysis techniques are valuable for understanding performance to date and for comparing to future performance goals in the form of completion dates. [PMBOK 6th edition, Page 227] ",,,,,,Schedule,Monitor & Control,,1
462,"You are a project manager in a infrastructure project. During a review, the site engineer informs you that the concrete production rate has changed over the last three months. What analysis should be conducted? ",Control chart ,Earned value (EV). ,Scatter diagram ,Trend analysis ,"Trend analysis examines project performance over time to determine whether performance is improving or deteriorating. Graphical analysis techniques are valuable for understanding performance to date and for comparing to future performance goals in the form of completion dates. [PMBOK 6th edition, Page 227] ",,,,,,Schedule,Monitor & Control,,4
515,"The project manager near to complete to project, unidentified stakeholder request a change on project scope. As a project manager for that project, What should you do first step? ",Ignore the stakeholder ,Meeting with the team and analyze the impact on project constraints ,Implement the change ,Update Stakeholder Register ,"Keyword "" Unidentified stakeholder "" the stakeholder should be identified first and Update Stakeholder Register before analyzing the impact on project constraints. [PMBOK 6th edition, Page 529]",,,,,,Stakeholder,Monitor & Control,,5
477,"The project in execution phase, unidentified stakeholder request a change on project schedule. As a project manager, What should you do first? ",Ignore the stakeholder ,Meeting with the team and analyze the impact on project constraints ,Implement the change ,Update Stakeholder Register ,"Keyword "" Unidentified stakeholder "" the stakeholder should be identified first and Update Stakeholder Register before analyzing the impact on project constraints. [PMBOK 6th edition, Page 529]",,,,,,Stakeholder,Executing,,4
382,"The customer has requested a change in the scope which you have processed through a change request and it is approved from CCB. Now, you are in the process of implementing this change into the project. In which of the following processes do you implement the approved change? ",Perform integrated change control ,Monitor and control project work ,Control scope ,Direct and manage project work ,"Approved change requests will be implemented through the Direct and Manage Project Work process. [PMBOK 6th edition, Page120]",,,,,,Integration,Monitor & Control,,1
333,"You are working on a critical deliverable encounter a major change that affects the schedule baseline and the next milestone deliverable. You have assessed the impact of the change on the project constraints with your team, and the change control board just approved a change request. In which process will this change be implemented? ",Perform integrated change control ,Monitor and control project work ,Develop project management plan ,Direct and manage project work ,"Direct and Manage Project Work is the process of leading and performing the work defined in the project management plan and implementing approved changes to achieve the project's objectives. [PMBOK 6th edition, Page 90] ",,,,,,Integration,Executing,,4
511,The change control board just approved a change request to modify two of the major deliverables. In which process will this change be implemented? ,Close Project or Phase ,Monitor and Control Project Work ,Perform Integrated Change Control ,Direct and Manage Project Work ," An approved change request for corrective actions, preventive actions, and defect repairs will be implemented in the Direct and Manage Project Work process. [PMBOK 6th edition, Page 92].",,,,,,Integration,Executing,,5
103,"Ahmad is a project manager working for a construction company. As part of his current project, he oversees the inspection of deliverables, measuring them against documented requirements and acceptance criteria for obtaining the stakeholders' formal acceptance of the project deliverables. What project management process is he performing? ",Control Quality ,Manage Quality ,Control Scope,Validate Scope ,"Inspection activities such as measuring, examining and validating to determine whether work and deliverables meet requirements and product acceptance criteria is a tool used in ""Validate Scope"" process. Inspections are sometimes called reviews, product reviews, and walkthroughs. In some application areas, these different terms have unique and specific meanings. [PMBOK 6th edition, Page 166] ",,,,,,Scope,Monitor & Control,,3
399,Your project is complete and the product is ready to be delivered. The client inspects the deliverable and accepts it. What process is this? ,Close project or phase ,Close procurement ,Control Quality ,Validate scope ,"In the Validate Scope process, the customer accepts the deliverables or the product. [PMBOK 6th edition, Page166 ].",,,,,,Scope,Monitor & Control,,5
401,"After the project charter is approved, what should you do NEXT? ",Prepare Project Scope Statement ,Scope baseline ,Prepare a business case ,Prepare Scope Management Plan ,"After the project charter is approved the next step should identify stakeholder but this option not included in the Choices so the correct answer is Scope management plan because it includes: Process for preparing a project scope statement and Process that establishes how the scope baseline will be approved and maintained. option no.4 the business case prepared before the project. [PMBOK 6th edition, Page 134]",,,,,,Scope,Planning,,2
402,"A construction manager is leading a project to study the feasibility of constructing a tower. The project needs to be analyzed from a technical, economic, and social point of view. The construction manager has created the project charter on behalf of the project sponsor, and it is now approved. Which of the following processes should be performed next? ",Develop Project Charter ,Scope Baseline, Identify Risks ,Plan Scope Management ,"After the project charter is approved the next step should identify stakeholder but this option not included in the Choices so the correct answer is Scope management plan because it includes: Process for preparing a project scope statement and Process that establishes how the scope baseline will be approved and maintained. option no.4 the business case prepared before the project. [PMBOK 6th edition, Page 134]",,,,,,Scope,Planning,,4
244,"Midway of your project and working on a deliverable which is 90% completed. It is time for the yearly audit. A team of auditors are about to come and verify if you are following the process as defined or not. However, as the deliverable is about to be completed, you check it and measure all dimensions to find any possible dimensional defects. What process is this? ","Manage quality 
","Plan quality management 
","Control scope 
","Control quality 
","In the quality control process, you inspect the deliverable for any possible defects. As you are doing an inspection, you are in the quality control process. Please note that although the quality audit is performed in the manage quality process, it has not started yet and you are doing an inspection, which is a tool of the quality control process. [PMBOK 6th edition, Page 303]",,,,,,Quality,Monitor & Control,,4
468,"You are in the middle of your project and working on a deliverable which is 85% completed. It is time for the yearly audit. A team of auditors are about to come and verify if you are following the process as defined or not. However, as the deliverable is about to be completed, you check it and measure all dimensions to find any possible dimensional defects. What process is this? ",Manage quality ,Plan quality management ,Control scope ,Control quality ,"In the quality control process, you inspect the deliverable for any possible defects. As you are doing an inspection, you are in the quality control process. Please note that although the quality audit is performed in the manage quality process, it has not started yet and you are doing an inspection, which is a tool of the quality control process. [PMBOK 6th edition, Page 303]",,,,,,Quality,Monitor & Control,,2
391,"As a project manager, what should you use to compare different suppliers and rate their proposals? ",Bid documents ,Bidder conferences ,A contract. ,Evaluation criteria ,"Evaluation criteria used to compare different subcontractors and rate their proposals. The buyer seeks to ensure that the proposal selected will offer the best quality for the services required. [PMBOK 6th edition Page, 478, 479]",,,,,,Procurement,Planning,,2
513,"To compare different vendors and rate their proposals, as a project manager, what should you use? ",Bid documents ,Bidder conferences ,A contract ,Evaluation criteria ,Evaluation criteria used to compare different subcontractors and rate their proposals. The buyer seeks to ensure that the proposal selected will offer the best quality for the services required. [PMBOK 6th edition Page. 478. 479],,,,,,Procurement,Planning,,4
56,Which of the following is neither an input to nor an output of the Develop Project Charter process?,A project charter,A business case,Benefits management plan,Expert Judgment,"A project statement of work and a business case are inputs to the Develop Project Charter process. A project charter is an output of the Develop Project Charter process. Expert judgment is a tool and technique of this process. [PMBOK 6th edition, Page 75]",,,,,,Integration,Initiating,,5
495,"As project manager, what a proper the following techniques help to identify and analyze risks? ",Probability and impact matrix. ,SWOT Analysis ,Monte Carol ,Expert Judgment,Expert Judgment Is T&T In all Risk processes expect Monitor Risk. [PMBOK 6th edition. Page 396] ,,,,,,Risk,Planning,,4
224,"You are a project manager for a company that provides catering services for events, each of which is managed as a project. The company is awarded a contract to cater a conference for 1,500 participants. The conference organizer conducts an inspection of the delivered food and beverages and discovers that 10 out of 10.000 soft drink bottles were out of date. Based on that, the conference organizer rejects the entire delivery. The project manager's company is now faced with replacement costs, the loss of credibility, and disrupted logistics. To what cost of quality (COQ) category do these costs belong? 
","Internal failure. 
","Appraisal. 
",Prevention ,"External failure. 
","Failure costs (internal/external). Costs related to nonconformance of the products, deliverables, or services to
the needs or expectations of the stakeholders. [PMBOK 6th edition, Page.282]",,,,,,Quality,Planning,,4
271,"In a conference call, the project manager failed the delivery date. Based on that, the conference organizer rejects the entire delivery. The project manager's company is now faced with replacement costs, the loss of credibility, and disrupted logistics. To what cost of quality (COQ) category do these costs belong? 
","Internal failure. 
","Appraisal. 
","Prevention 
","External failure. 
","loss of credibility and disrupted logistics are an example of external failure cost. [PMBOK 6th edition, Page.283]",,,,,,Quality,Planning,,5
